Model Params: 25.83M
Trainable Params: 25.830M
Dataset: 1398972 train, 14131 val
Muon params: 25.82M, AdamW params: 0.01M
Epoch:[1/2](45500/174872), loss: 2.7346, logits_loss: 2.7346, aux_loss: 0.0000, lr: 0.00028888, epoch_time: 582.0min
Epoch:[1/2](46000/174872), loss: 2.6985, logits_loss: 2.6985, aux_loss: 0.0000, lr: 0.00028864, epoch_time: 580.0min
Epoch:[1/2](46500/174872), loss: 3.2747, logits_loss: 3.2747, aux_loss: 0.0000, lr: 0.00028839, epoch_time: 577.0min
Epoch:[1/2](47000/174872), loss: 2.9520, logits_loss: 2.9520, aux_loss: 0.0000, lr: 0.00028815, epoch_time: 574.0min
Epoch:[1/2](47500/174872), loss: 2.7082, logits_loss: 2.7082, aux_loss: 0.0000, lr: 0.00028790, epoch_time: 572.0min
Epoch:[1/2](48000/174872), loss: 2.7177, logits_loss: 2.7177, aux_loss: 0.0000, lr: 0.00028764, epoch_time: 570.0min
Epoch:[1/2](48500/174872), loss: 2.7146, logits_loss: 2.7146, aux_loss: 0.0000, lr: 0.00028739, epoch_time: 567.0min
Epoch:[1/2](49000/174872), loss: 2.7376, logits_loss: 2.7376, aux_loss: 0.0000, lr: 0.00028713, epoch_time: 565.0min
Epoch:[1/2](49500/174872), loss: 3.2181, logits_loss: 3.2181, aux_loss: 0.0000, lr: 0.00028687, epoch_time: 562.0min
Epoch:[1/2](50000/174872), loss: 2.8660, logits_loss: 2.8660, aux_loss: 0.0000, lr: 0.00028661, epoch_time: 560.0min
Epoch:[1/2](50500/174872), loss: 2.8034, logits_loss: 2.8034, aux_loss: 0.0000, lr: 0.00028635, epoch_time: 558.0min
Epoch:[1/2](51000/174872), loss: 3.0299, logits_loss: 3.0299, aux_loss: 0.0000, lr: 0.00028608, epoch_time: 556.0min
Epoch:[1/2](51500/174872), loss: 2.9301, logits_loss: 2.9301, aux_loss: 0.0000, lr: 0.00028581, epoch_time: 553.0min
Epoch:[1/2](52000/174872), loss: 2.7727, logits_loss: 2.7727, aux_loss: 0.0000, lr: 0.00028554, epoch_time: 551.0min
Epoch:[1/2](52500/174872), loss: 2.4203, logits_loss: 2.4203, aux_loss: 0.0000, lr: 0.00028526, epoch_time: 548.0min
Epoch:[1/2](53000/174872), loss: 2.9688, logits_loss: 2.9688, aux_loss: 0.0000, lr: 0.00028499, epoch_time: 546.0min
Epoch:[1/2](53500/174872), loss: 2.8192, logits_loss: 2.8192, aux_loss: 0.0000, lr: 0.00028471, epoch_time: 544.0min
Epoch:[1/2](54000/174872), loss: 3.4292, logits_loss: 3.4292, aux_loss: 0.0000, lr: 0.00028443, epoch_time: 542.0min
Epoch:[1/2](54500/174872), loss: 2.8156, logits_loss: 2.8156, aux_loss: 0.0000, lr: 0.00028414, epoch_time: 539.0min
Epoch:[1/2](55000/174872), loss: 2.9014, logits_loss: 2.9014, aux_loss: 0.0000, lr: 0.00028386, epoch_time: 537.0min
Epoch:[1/2](55500/174872), loss: 2.8106, logits_loss: 2.8106, aux_loss: 0.0000, lr: 0.00028357, epoch_time: 535.0min
Epoch:[1/2](56000/174872), loss: 2.8706, logits_loss: 2.8706, aux_loss: 0.0000, lr: 0.00028328, epoch_time: 533.0min
Epoch:[1/2](56500/174872), loss: 2.4287, logits_loss: 2.4287, aux_loss: 0.0000, lr: 0.00028298, epoch_time: 530.0min
Epoch:[1/2](57000/174872), loss: 2.6267, logits_loss: 2.6267, aux_loss: 0.0000, lr: 0.00028269, epoch_time: 527.0min
Epoch:[1/2](57500/174872), loss: 2.8368, logits_loss: 2.8368, aux_loss: 0.0000, lr: 0.00028239, epoch_time: 525.0min
Epoch:[1/2](58000/174872), loss: 2.6862, logits_loss: 2.6862, aux_loss: 0.0000, lr: 0.00028209, epoch_time: 523.0min
Epoch:[1/2](58500/174872), loss: 2.6298, logits_loss: 2.6298, aux_loss: 0.0000, lr: 0.00028179, epoch_time: 521.0min
Epoch:[1/2](59000/174872), loss: 2.9690, logits_loss: 2.9690, aux_loss: 0.0000, lr: 0.00028148, epoch_time: 519.0min
Epoch:[1/2](59500/174872), loss: 2.9757, logits_loss: 2.9757, aux_loss: 0.0000, lr: 0.00028117, epoch_time: 516.0min
Epoch:[1/2](60000/174872), loss: 2.7771, logits_loss: 2.7771, aux_loss: 0.0000, lr: 0.00028086, epoch_time: 514.0min
Epoch:[1/2](60500/174872), loss: 2.9706, logits_loss: 2.9706, aux_loss: 0.0000, lr: 0.00028055, epoch_time: 512.0min
Epoch:[1/2](61000/174872), loss: 2.9687, logits_loss: 2.9687, aux_loss: 0.0000, lr: 0.00028024, epoch_time: 510.0min
Epoch:[1/2](61500/174872), loss: 3.0057, logits_loss: 3.0057, aux_loss: 0.0000, lr: 0.00027992, epoch_time: 507.0min
Epoch:[1/2](62000/174872), loss: 3.1792, logits_loss: 3.1792, aux_loss: 0.0000, lr: 0.00027960, epoch_time: 505.0min
Epoch:[1/2](62500/174872), loss: 3.1845, logits_loss: 3.1845, aux_loss: 0.0000, lr: 0.00027928, epoch_time: 503.0min
Epoch:[1/2](63000/174872), loss: 2.7556, logits_loss: 2.7556, aux_loss: 0.0000, lr: 0.00027895, epoch_time: 500.0min
Epoch:[1/2](63500/174872), loss: 2.7005, logits_loss: 2.7005, aux_loss: 0.0000, lr: 0.00027863, epoch_time: 498.0min
Epoch:[1/2](64000/174872), loss: 2.6505, logits_loss: 2.6505, aux_loss: 0.0000, lr: 0.00027830, epoch_time: 495.0min
Epoch:[1/2](64500/174872), loss: 2.8168, logits_loss: 2.8168, aux_loss: 0.0000, lr: 0.00027797, epoch_time: 493.0min
Epoch:[1/2](65000/174872), loss: 2.4326, logits_loss: 2.4326, aux_loss: 0.0000, lr: 0.00027764, epoch_time: 491.0min
Epoch:[1/2](65500/174872), loss: 2.5196, logits_loss: 2.5196, aux_loss: 0.0000, lr: 0.00027730, epoch_time: 489.0min
Epoch:[1/2](66000/174872), loss: 2.7582, logits_loss: 2.7582, aux_loss: 0.0000, lr: 0.00027696, epoch_time: 486.0min
Epoch:[1/2](66500/174872), loss: 3.0518, logits_loss: 3.0518, aux_loss: 0.0000, lr: 0.00027662, epoch_time: 484.0min
Epoch:[1/2](67000/174872), loss: 2.4051, logits_loss: 2.4051, aux_loss: 0.0000, lr: 0.00027628, epoch_time: 482.0min
Epoch:[1/2](67500/174872), loss: 2.7864, logits_loss: 2.7864, aux_loss: 0.0000, lr: 0.00027594, epoch_time: 480.0min
Epoch:[1/2](68000/174872), loss: 2.9860, logits_loss: 2.9860, aux_loss: 0.0000, lr: 0.00027559, epoch_time: 478.0min
Epoch:[1/2](68500/174872), loss: 2.6432, logits_loss: 2.6432, aux_loss: 0.0000, lr: 0.00027524, epoch_time: 476.0min
Epoch:[1/2](69000/174872), loss: 2.8558, logits_loss: 2.8558, aux_loss: 0.0000, lr: 0.00027489, epoch_time: 473.0min
Epoch:[1/2](69500/174872), loss: 2.7542, logits_loss: 2.7542, aux_loss: 0.0000, lr: 0.00027454, epoch_time: 470.0min
Epoch:[1/2](70000/174872), loss: 2.9111, logits_loss: 2.9111, aux_loss: 0.0000, lr: 0.00027418, epoch_time: 468.0min
Epoch:[1/2](70500/174872), loss: 2.7390, logits_loss: 2.7390, aux_loss: 0.0000, lr: 0.00027382, epoch_time: 466.0min
Epoch:[1/2](71000/174872), loss: 2.5233, logits_loss: 2.5233, aux_loss: 0.0000, lr: 0.00027346, epoch_time: 463.0min
Epoch:[1/2](71500/174872), loss: 2.9121, logits_loss: 2.9121, aux_loss: 0.0000, lr: 0.00027310, epoch_time: 461.0min
Epoch:[1/2](72000/174872), loss: 2.6833, logits_loss: 2.6833, aux_loss: 0.0000, lr: 0.00027274, epoch_time: 459.0min
Epoch:[1/2](72500/174872), loss: 3.0527, logits_loss: 3.0527, aux_loss: 0.0000, lr: 0.00027237, epoch_time: 457.0min
Epoch:[1/2](73000/174872), loss: 2.8714, logits_loss: 2.8714, aux_loss: 0.0000, lr: 0.00027200, epoch_time: 455.0min
Epoch:[1/2](73500/174872), loss: 2.5922, logits_loss: 2.5922, aux_loss: 0.0000, lr: 0.00027163, epoch_time: 453.0min
Epoch:[1/2](74000/174872), loss: 2.7703, logits_loss: 2.7703, aux_loss: 0.0000, lr: 0.00027126, epoch_time: 450.0min
Epoch:[1/2](74500/174872), loss: 3.0182, logits_loss: 3.0182, aux_loss: 0.0000, lr: 0.00027088, epoch_time: 448.0min
Epoch:[1/2](75000/174872), loss: 2.9534, logits_loss: 2.9534, aux_loss: 0.0000, lr: 0.00027051, epoch_time: 446.0min
Epoch:[1/2](75500/174872), loss: 2.7451, logits_loss: 2.7451, aux_loss: 0.0000, lr: 0.00027013, epoch_time: 444.0min
Epoch:[1/2](76000/174872), loss: 2.6516, logits_loss: 2.6516, aux_loss: 0.0000, lr: 0.00026974, epoch_time: 441.0min
Epoch:[1/2](76500/174872), loss: 3.2538, logits_loss: 3.2538, aux_loss: 0.0000, lr: 0.00026936, epoch_time: 438.0min
Epoch:[1/2](77000/174872), loss: 3.2935, logits_loss: 3.2935, aux_loss: 0.0000, lr: 0.00026898, epoch_time: 436.0min
Epoch:[1/2](77500/174872), loss: 3.1215, logits_loss: 3.1215, aux_loss: 0.0000, lr: 0.00026859, epoch_time: 434.0min
Epoch:[1/2](78000/174872), loss: 3.0883, logits_loss: 3.0883, aux_loss: 0.0000, lr: 0.00026820, epoch_time: 432.0min
Epoch:[1/2](78500/174872), loss: 2.5948, logits_loss: 2.5948, aux_loss: 0.0000, lr: 0.00026781, epoch_time: 430.0min
Epoch:[1/2](79000/174872), loss: 2.8876, logits_loss: 2.8876, aux_loss: 0.0000, lr: 0.00026741, epoch_time: 427.0min
Epoch:[1/2](79500/174872), loss: 2.8296, logits_loss: 2.8296, aux_loss: 0.0000, lr: 0.00026702, epoch_time: 425.0min
Epoch:[1/2](80000/174872), loss: 2.9294, logits_loss: 2.9294, aux_loss: 0.0000, lr: 0.00026662, epoch_time: 423.0min
Epoch:[1/2](80500/174872), loss: 3.1690, logits_loss: 3.1690, aux_loss: 0.0000, lr: 0.00026622, epoch_time: 421.0min
Epoch:[1/2](81000/174872), loss: 3.0588, logits_loss: 3.0588, aux_loss: 0.0000, lr: 0.00026582, epoch_time: 418.0min
Epoch:[1/2](81500/174872), loss: 2.7308, logits_loss: 2.7308, aux_loss: 0.0000, lr: 0.00026541, epoch_time: 416.0min
Epoch:[1/2](82000/174872), loss: 3.0069, logits_loss: 3.0069, aux_loss: 0.0000, lr: 0.00026500, epoch_time: 414.0min
Epoch:[1/2](82500/174872), loss: 2.9071, logits_loss: 2.9071, aux_loss: 0.0000, lr: 0.00026460, epoch_time: 412.0min
Epoch:[1/2](83000/174872), loss: 2.8405, logits_loss: 2.8405, aux_loss: 0.0000, lr: 0.00026419, epoch_time: 410.0min
Epoch:[1/2](83500/174872), loss: 2.8218, logits_loss: 2.8218, aux_loss: 0.0000, lr: 0.00026377, epoch_time: 407.0min
Epoch:[1/2](84000/174872), loss: 3.0209, logits_loss: 3.0209, aux_loss: 0.0000, lr: 0.00026336, epoch_time: 405.0min
Epoch:[1/2](84500/174872), loss: 3.1487, logits_loss: 3.1487, aux_loss: 0.0000, lr: 0.00026294, epoch_time: 403.0min
Epoch:[1/2](85000/174872), loss: 2.8084, logits_loss: 2.8084, aux_loss: 0.0000, lr: 0.00026253, epoch_time: 401.0min
